-61.528;-19.614;32.878;44.761;13.956;-10.471;-57.976;-3.536;67.714;-52.427;56.215;37.764;24.167;-65.222;83.692;69.065;42.433;-13.855;-87.357;54.222;99.844;-94.677;-14.741;33.579;38.946;75.941;98.901;53.355;-56.811;43.531,97340.97
16.546;18.776;-99.671;91.453;12.379;25.862;97.927;17.35;1.801;-79.914;-8.327;-81.377;-51.44;-14.057;-36.657;13.124;54.886;74.137;48.316;55.562;-52.561;-52.502;80.921;-34.532;54.217;51.41;-40.014;-63.507;-31.769;29.99,87393.29
-72.656;-23.089;70.816;97.817;56.345;40.501;-90.34;-66.816;-35.262;-13.653;-83.06;57.339;10.6;76.343;-56.921;83.621;6.261;-97.869;-97.222;95.288;-3.578;53.663;69.568;49.32;-24.529;97.33;41.777;-39.192;-35.367;0.37,118546.717
-33.619;-3.893;4.542;21.163;55.556;58.668;87.611;43.627;-68.218;72.603;84.67;97.768;72.797;-98.075;82.904;-44.35;12.487;-53.874;70.614;95.958;20.219;-25.25;-82.601;15.264;-16.894;85.065;-27.68;2.378;77.153;-6.4,107773.624
-90.097;73.986;78.065;-12.802;-54.935;51.614;-44.826;54.407;-76.431;32.61;-0.255;94.341;72.484;31.559;-37.276;-47.416;-97.215;-85.878;43.864;-25.93;70.59;-55.095;-0.969;51.078;10.343;1.436;74.815;-32.132;44.917;-52.099,97715.004
-51.061;93.181;11.791;-89.456;-55.723;69.78;-66.875;-35.149;90.612;-81.133;-32.526;-65.23;-65.32;57.142;-97.45;24.614;-90.988;-41.882;11.701;-25.26;94.388;65.993;46.862;17.022;17.978;-10.829;5.358;9.438;-42.563;-58.869,103246.894
59.737;51.316;-17.722;-83.093;-11.757;84.419;-55.142;80.684;53.549;-14.873;92.741;73.486;-3.28;-52.459;82.285;95.11;60.387;-13.888;66.163;14.466;-56.629;-27.842;35.509;-99.127;-60.768;35.091;87.149;33.753;-46.161;-88.489,113019.753
98.774;70.512;-83.997;40.254;-12.546;-97.414;-77.19;-8.873;20.593;71.384;60.471;-86.084;58.917;-26.876;22.111;-32.86;66.613;30.107;33.999;15.136;-32.832;93.245;83.34;66.818;-53.133;22.826;17.692;75.322;66.36;-95.26,112157.388
-62.189;89.707;49.729;-36.4;-13.334;-79.248;-99.239;-98.429;-12.364;-42.359;28.2;-45.655;-78.887;-1.294;-38.063;39.169;72.839;74.103;1.835;15.806;-9.034;14.333;-68.829;32.762;-45.498;10.56;-51.766;-83.109;-21.12;97.97,94702.428
48.609;47.842;20.216;-30.037;30.632;-64.608;-87.506;17.404;-49.427;23.901;-46.533;93.061;-16.847;89.106;-58.328;-90.334;24.215;-97.903;56.297;55.532;39.949;-79.502;-80.182;-83.386;75.756;56.481;30.025;-58.794;-24.717;68.35,108954.706
